KomplettID,ListenID_26_03,Name,Kategorie,Typ,SM_XURL,SM_XID,SM_FacebookURL,SM_FacebookID,SM_YoutubeURL,SM_InstagramURL,SM_TikTokURL,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,T_Art_Bildung_und_Forschung,K_Ursprungsgattung,K_Finanzierung
2712,1,"""Kennste das?"" - Das Niedersachsen-Rätsel",1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Radio,öffentlich-rechtlich
2713,2,#hinReisend,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,https://www.youtube.com/@hinREISEND_Ausflugstipps,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2714,3,100% 80er,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Radio,öffentlich-rechtlich
2715,4,100% 90er,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Radio,öffentlich-rechtlich
2716,5,100% Abtanzen,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Radio,öffentlich-rechtlich
2717,6,100% Made in Germany,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Radio,öffentlich-rechtlich
2718,7,100% Promi,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Radio,öffentlich-rechtlich
2719,8,100% Rock,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Radio,öffentlich-rechtlich
2720,9,111...,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,TV,privatwirtschaftlich
2721,10,112 - Notruf Nord,1,5,existiert nicht,existiert nicht,https://www.facebook.com/NDRfernsehen,100067963914677,https://www.youtube.com/@NDRDoku,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2722,11,2 für 300,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,https://www.youtube.com/@ARDReisen,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2723,12,2 Minuten,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,https://www.youtube.com/@mdr,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2724,13,3 nach 9 ,1,5,existiert nicht,existiert nicht,https://www.facebook.com/3nach9,141992959695,https://www.youtube.com/@3nach9,https://www.instagram.com/3nach9_official/,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2725,14,"3 Paare, ein Ziel",1,5,existiert nicht,existiert nicht,https://www.facebook.com/bayerischer.rundfunk,100064323443815,https://www.youtube.com/@bayerischerrundfunk,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2726,15,37 Grad,1,5,existiert nicht,existiert nicht,https://www.facebook.com/ZDF37Grad,100064277036424,https://www.youtube.com/@37Grad,https://www.instagram.com/zdf37grad/,https://www.tiktok.com/@37grad-DE,.,.,.,.,.,TV,öffentlich-rechtlich
2727,16,3sat Kulturzeit,1,5,https://x.com/kulturzeit,21302594,existiert nicht,existiert nicht,https://www.youtube.com/@ZDFheute,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2728,17,3sat Servicezeit,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2729,18,42: Die Antwort auf fast alles,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,https://www.youtube.com/@artede,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2730,19,7 Tage,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,https://www.youtube.com/@hessischerRundfunkARD,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2731,20,"80er, 90er, 100% Berlin",1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Radio,öffentlich-rechtlich
2732,21,99 - Eine:r schlägt sie alle!,1,5,existiert nicht,existiert nicht,https://www.facebook.com/sat1tv,100044137164323,https://www.youtube.com/@SAT1emotions,https://www.instagram.com/99_eine_r_schlaegt_sie_alle/,existiert nicht,.,.,.,.,.,TV,privatwirtschaftlich
2733,22,Ab 18!,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2734,23,Ab in die Ruine!,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,https://www.youtube.com/@VOX_de,existiert nicht,existiert nicht,.,.,.,.,.,TV,privatwirtschaftlich
2735,24,Ab ins Beet!,1,5,existiert nicht,existiert nicht,https://www.facebook.com/abinsbeet.VOX,100064311744756,https://www.youtube.com/@RTLHausUndGarten,existiert nicht,existiert nicht,.,.,.,.,.,TV,privatwirtschaftlich
2736,25,Abenteuer Auswandern,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
2737,26,Abenteuer Diagnose,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,https://www.youtube.com/@ardgesund,existiert nicht,https://www.tiktok.com/@abenteuer.diagnose,.,.,.,.,.,TV,öffentlich-rechtlich
2738,27,Abenteuer Erde,1,5,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,TV,öffentlich-rechtlich
