KomplettID,ListenID_26_03,Name,Kategorie,Typ,SM_XURL,SM_XID,SM_FacebookURL,SM_FacebookID,SM_YoutubeURL,SM_InstagramURL,SM_TikTokURL,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,T_Art_Bildung_und_Forschung,K_Ursprungsgattung,K_Finanzierung
670,1,"[inne]halten - Magazin für Gesellschaft, gutes Leben und Spiritualität",1,2,existiert nicht,existiert nicht,https://www.facebook.com/mkredaktion,100063716433574,existiert nicht,https://www.instagram.com/innehalten_redaktion,existiert nicht,.,.,.,.,.,Print,privatwirtschaftlich
671,2,"[inne]halten, katholisches Magazin für das Bistum Eichstätt",1,2,existiert nicht,existiert nicht,https://www.facebook.com/mkredaktion,100063716433574,existiert nicht,https://www.instagram.com/innehalten_redaktion,existiert nicht,.,.,.,.,.,Print,privatwirtschaftlich
672,3,[me] Mechatronik + Engineering,1,2,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Print,privatwirtschaftlich
673,4,11 Freunde - Magazin für Fußball-Kultur,1,2,https://x.com/11freunde_de,16777855,https://www.facebook.com/11freunde,100044415340178,https://www.youtube.com/@11FREUNDE,https://www.instagram.com/11freunde/,existiert nicht,.,.,.,.,.,Print,privatwirtschaftlich
674,5,24 Stunden Gastlichkeit,1,2,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,https://www.instagram.com/24stundengastlichkeit/,existiert nicht,.,.,.,.,.,Print,privatwirtschaftlich
675,6,3R,1,2,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Print,privatwirtschaftlich
676,7,5!,1,2,https://x.com/BlueOceanNews,784518828,https://www.facebook.com/BOEAG,100063639560799,https://www.youtube.com/@BlueOceanClips,https://www.instagram.com/blue_ocean_entertainment/,existiert nicht,.,.,.,.,.,Print,privatwirtschaftlich
677,8,A & I Anästhesiologie & Intensivmedizin,1,2,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Print,privatwirtschaftlich
678,9,Academia,1,2,existiert nicht,existiert nicht,https://www.facebook.com/Cartellverband1856/,100064974210358,https://www.youtube.com/@Cartellverband1856,https://www.instagram.com/cartellverband1856,existiert nicht,.,.,.,.,.,Print,privatwirtschaftlich
679,10,ACE-Lenkrad,1,2,https://x.com/ace_autoclub,898528316810043392,https://www.facebook.com/AutoClubEuropa/,100063501193360,https://www.youtube.com/@acefernsehen,https://www.instagram.com/ace_auto_club_europa/,https://www.tiktok.com/@ace_auto_club_europa,.,.,.,.,.,Print,privatwirtschaftlich
680,11,ACV Profil,1,2,existiert nicht,existiert nicht,https://www.facebook.com/acv/,100069831734774,https://www.youtube.com/@acv_de,https://www.instagram.com/acv_de/,https://www.tiktok.com/@acv_de,.,.,.,.,.,Print,privatwirtschaftlich
