KomplettID,ListenID_26_03,Name,Kategorie,Typ,SM_XURL,SM_XID,SM_FacebookURL,SM_FacebookID,SM_YoutubeURL,SM_InstagramURL,SM_TikTokURL,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,T_Art_Bildung_und_Forschung,K_Ursprungsgattung,K_Finanzierung
6399,1,"Abbas, Fatima",3,20,https://x.com/Fatima_Abbas__,1199340320351088640,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6400,2,"Abboud, Achille",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,https://www.instagram.com/ach_ab/,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6401,3,"Ahrens, Sebastian",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6402,4,"Aiash, Haitham",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6403,5,"Alexander, Robin",3,20,https://x.com/robinalexander_,464694427,https://www.facebook.com/robin.alexander.338/,100000811173446,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6404,6,"Al-Serori, Leila",3,20,https://x.com/LeilaAls,400346159,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6405,7,"Alvarez Sobreviela, Sonja",3,20,https://x.com/Sonja_Alvarez,377309543,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6406,8,"am Orde, Sabine",3,20,https://x.com/SabineamOrde,809018030,https://www.facebook.com/sabine.amorde/,100003444128732,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6407,9,"Amann-Donahue, Dr. Melanie",3,20,https://x.com/MelAmann,52433078,existiert nicht,existiert nicht,.,https://www.instagram.com/melamannspiegel/,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6408,10,"Anger, Dr. Heike",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6409,11,"Apel, Johanna",3,20,https://x.com/johanna_apel,1328463771069714432,https://www.facebook.com/johanna.apunkt,1235613308,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6410,12,"Aretz, Tilman",3,20,https://x.com/TilmanAretz,1712274384,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6411,13,"Arikan, Dr. Erkan",3,20,https://x.com/ErkanArikan38,1052549617307590656,https://www.facebook.com/erkan.arikan.336,705902814,.,https://www.instagram.com/erkan.arikan.38/,https://www.tiktok.com/@erkan.arikan38,männlich,.,.,.,.,.,öffentlich-rechtlich
6412,14,"Arland, Ines",3,20,https://x.com/InesArland,781277305,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6413,15,"Aßmann, Tim",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,öffentlich-rechtlich
6414,16,"Aswad, Nadja",3,20,https://x.com/N_Aswad,1277202024,https://www.facebook.com/nadja.aswad,100002199222004,.,https://www.instagram.com/nadja.aswad_/,https://www.tiktok.com/@nadja.aswad,weiblich,.,.,.,.,.,privatwirtschaftlich
6415,17,"Auermann, Marcel",3,20,https://x.com/MarcelAuermann,3288991929,https://www.facebook.com/marcelauermann,100000207309679,.,https://www.instagram.com/marcelauermann/,https://www.tiktok.com/@marcelauermann,männlich,.,.,.,.,.,privatwirtschaftlich
6416,18,"Averdunk, Franz Ludwig",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6417,19,"Bader, Nadine",3,20,https://x.com/Nadbader,48659045,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,öffentlich-rechtlich
6418,20,"Baethge, Henning",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6419,21,"Bah, Isaac",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6420,22,"Bähr, Matthias",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6421,23,"Balgo, Nele",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6422,24,"Ballwieser, Dr. Dennis",3,20,https://x.com/dennisandre,17994531,https://www.facebook.com/dennis.andre,659247104,.,https://www.instagram.com/dennisballwieser/,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6423,25,"Balser, Markus",3,20,https://x.com/Markus_Balser,905580662,https://www.facebook.com/markus.balser.5,1468563516,.,https://www.instagram.com/markus.balser.5/,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6424,26,"Balzer, Vladimir",3,20,https://x.com/radiovladi,2572865430,https://www.facebook.com/profile.php?id=100014152632969,100014152632969,.,https://www.instagram.com/vladimir.balzer/,existiert nicht,männlich,.,.,.,.,.,öffentlich-rechtlich
6425,27,"Bargel, Sven",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6426,28,"Bartels, Jan-Peter",3,20,https://x.com/jpbartels,28410205,https://www.facebook.com/janpeter.bartels,741500544,.,https://www.instagram.com/jottapebe/,existiert nicht,männlich,.,.,.,.,.,öffentlich-rechtlich
6427,29,"Barthelme, Cornelie",3,20,https://x.com/01piscis,999064586,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6428,30,"Bäsecke, Erik",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6429,31,"Bath, Dominik",3,20,https://x.com/DoBath,2494861802,https://www.facebook.com/dominik.bath,100001903948725,.,https://www.instagram.com/dominikbath/,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6430,32,"Bauchmüller, Michael",3,20,https://x.com/MBauchmueller,58498018,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6431,33,"Baumann, Matthias",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6432,34,"Baumann, Thomas",3,20,https://x.com/TBaumannARD,768735701366177792,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,öffentlich-rechtlich
6433,35,"Baumer, Andreas",3,20,https://x.com/andybaumer,2825288566,existiert nicht,existiert nicht,.,https://www.instagram.com/andy.baumer/,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6434,36,"Baumer, Harald",3,20,https://x.com/inderhauptstadt,110390972,existiert nicht,existiert nicht,.,https://www.instagram.com/inderhauptstadt/,https://www.tiktok.com/@harald_baumer,männlich,.,.,.,.,.,privatwirtschaftlich
6435,37,"Baumgarten, Ulrich",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6436,38,"Bebenroth, Marc",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6437,39,"Bebermeier, Johannes",3,20,https://x.com/jbebermeier,38172444,https://www.facebook.com/bebermeier,100000006760627,.,https://www.instagram.com/johannesbebermeier/,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6438,40,"Becher, Alexander",3,20,https://x.com/alexbecher,19508839,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6439,41,"Becke, Lisa",3,20,https://x.com/becke_lisa,894897586276061184,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6440,42,"Becker, Andreas",3,20,https://x.com/abecker181263,993738282197495808,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6441,43,"Becker, Benedikt",3,20,https://x.com/BeneBecker,35779180,existiert nicht,existiert nicht,.,https://www.instagram.com/bne.becker/,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6442,44,"Becker, Birgit",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,weiblich,.,.,.,.,.,öffentlich-rechtlich
6443,45,"Becker, Markus",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6444,46,"Beer, Maximilian",3,20,https://x.com/maximbeer,989487469468012544,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6445,47,"Beerheide, Rebecca",3,20,https://x.com/rebbybeere,597605991,https://www.facebook.com/rebbybeere,680697130,.,https://www.instagram.com/rebby_beere/,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6446,48,"Beham, Sarah",3,20,https://x.com/BehamSarah,992458933653655555,https://www.facebook.com/sarah.beham.5,100001390592028,.,https://www.instagram.com/behamsarah/,existiert nicht,weiblich,.,.,.,.,.,öffentlich-rechtlich
6447,49,"Bellikli, Okan",3,20,https://x.com/okbelli,862340452858691585,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6448,50,"Bensch, Fabrizio",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6449,51,"Benser, Marko",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,https://www.instagram.com/markobenser/,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6450,52,"Benthin, Bernd",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,öffentlich-rechtlich
6451,53,"Berding, Thomas",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,privatwirtschaftlich
6452,54,"Berndt, Uwe",3,20,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,existiert nicht,existiert nicht,männlich,.,.,.,.,.,öffentlich-rechtlich
6453,55,"Bethke, Dr. Hannah",3,20,https://x.com/bethke_hannah/,1395406559220469764,existiert nicht,existiert nicht,.,https://www.instagram.com/bethke_hannah/,existiert nicht,weiblich,.,.,.,.,.,privatwirtschaftlich
6454,56,"Betschka, Julius",3,20,https://x.com/JuliusBetschka,857105270,https://www.facebook.com/profile.php?id=61576655759886,61576655759886,.,https://www.instagram.com/julius_betschka/,https://www.tiktok.com/@juliusbetschka,männlich,.,.,.,.,.,privatwirtschaftlich
