ListenID_23_04,Name,Kategorie,Typ,SM_TwitterURL,SM_TwitterID,SM_FacebookURL,SM_FacebookID,SM_InstagramURL,SM_InstagramID,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,K_Ursprungsgattung,K_Finanzierung,T_Mitglied_in_BPK
342,Landesregierung von Sachsen-Anhalt,2,15,https://twitter.com/sachsenanhalt,20368423,https://www.facebook.com/Land.Sachsen.Anhalt,425826610811885,https://www.instagram.com/sachsenanhalt/,2245887495,,,,Verfassungsorgan Land,,,
343,Staatskanzlei und Ministerium für Kultur des Landes Sachsen-Anhalt,2,15,https://twitter.com/STK_LSA,3019779304,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
344,Ministerium für Inneres und Sport (Sachsen-Anhalt),2,15,https://twitter.com/MISachsenAnhalt,1135897032646938624,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
345,Ministerium für Justiz und Verbraucherschutz (Sachsen-Anhalt),2,15,https://twitter.com/Justiz_LSA,1509181178837966848,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
346,Ministerium der Finanzen (Sachsen-Anhalt),2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
347,"Ministerium für Arbeit, Soziales, Gesundheit und Gleichstellung",2,15,https://twitter.com/Soziales_ST,1069573064155955201,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
348,Ministerium für Bildung (Sachsen-Anhalt),2,15,https://twitter.com/MBSachsenAnhalt,1096473017977356290,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
349,"Ministerium für Wissenschaft, Energie, Klimaschutz und Umwelt (Sachsen-Anhalt)",2,15,https://twitter.com/MWU_LSA,1088803418901278722,https://www.facebook.com/MWU.SachsenAnhalt,193353297359726,https://www.instagram.com/mwu.lsa/,3417285721,,,,Oberste Landesbehörde,,,
350,"Ministerium für Wirtschaft, Tourismus, Landwirtschaft und Forsten (Sachsen-Anhalt)",2,15,https://twitter.com/MWL_LSA,781024589367373824,https://www.facebook.com/MWL.SachsenAnhalt,1954948831258720,https://www.instagram.com/mwl_sachsenanhalt/,18076515117,,,,Oberste Landesbehörde,,,
351,Ministerium für Infrastruktur und Digitales (Sachsen-Anhalt),2,15,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,,,,Oberste Landesbehörde,,,
