KomplettID,ListenID_26_03,Name,Kategorie,Typ,SM_XURL,SM_XID,SM_FacebookURL,SM_FacebookID,SM_YoutubeURL,SM_InstagramURL,SM_TikTokURL,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,T_Art_Bildung_und_Forschung,K_Ursprungsgattung,K_Finanzierung
1864,1,#dabeiTV,1,3,https://x.com/dabei_tv,1252528695971057665,https://www.facebook.com/dabei.tv1,107841834237467,https://www.youtube.com/@dabeitv,https://www.instagram.com/dabeitv/,https://www.tiktok.com/@dabeitv,.,.,.,.,.,TV,privatwirtschaftlich
1865,2,#heiseshow,1,3,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,TV,privatwirtschaftlich
1866,3,100% Rheinhessen,1,3,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,Radio,privatwirtschaftlich
1867,4,102.2 Radio Essen,1,3,https://x.com/radio_essen,103868514,https://www.facebook.com/radioessen,229375060100,https://www.youtube.com/@radioessen,https://www.instagram.com/radioessen/,https://www.tiktok.com/@radioessen,.,.,.,.,.,Radio,privatwirtschaftlich
1868,5,"104,6 RTL (Berlin)",1,3,https://x.com/1046rtl,31382902,https://www.facebook.com/104.6RTL/,77555292705,existiert nicht,https://www.instagram.com/1046rtl/,https://www.tiktok.com/@1046rtl,.,.,.,.,.,Radio,privatwirtschaftlich
1869,6,105.5 Spreeradio,1,3,existiert nicht,existiert nicht,https://www.facebook.com/spreeradio/,103927029333,https://www.youtube.com/@Spreeradio,https://www.instagram.com/1055_spreeradio/,existiert nicht,.,.,.,.,.,Radio,privatwirtschaftlich
1870,7,106.2 Radio Oberhausen,1,3,existiert nicht,existiert nicht,https://www.facebook.com/radiooberhausen/,264474226304,https://www.youtube.com/@radiooberhausen,https://www.instagram.com/radio_oberhausen/,existiert nicht,.,.,.,.,.,Radio,privatwirtschaftlich
1871,8,107.7 Radio Hagen,1,3,https://x.com/radiohagen,64398837,https://www.facebook.com/RadioHagen,229027335945,https://www.youtube.com/@1077radiohagen,https://www.instagram.com/radiohagen/,existiert nicht,.,.,.,.,.,Radio,privatwirtschaftlich
1872,9,1-2-3.tv,1,3,https://x.com/123tv,16616484,https://www.facebook.com/123tv/,82893650281,existiert nicht,https://www.instagram.com/123.live,existiert nicht,.,.,.,.,.,TV,privatwirtschaftlich
1873,10,13th Street,1,3,existiert nicht,existiert nicht,https://www.facebook.com/13thStreetDE/,705676452844878,existiert nicht,existiert nicht,existiert nicht,.,.,.,.,.,TV,privatwirtschaftlich
1874,11,17:30 Sat.1 LIVE,1,3,https://x.com/sat1nrw,292265849,https://www.facebook.com/1730sat1live/,201024466575220,existiert nicht,https://www.instagram.com/1730sat1live/,existiert nicht,.,.,.,.,.,TV,privatwirtschaftlich
1875,12,1LIVE,1,3,existiert nicht,existiert nicht,https://www.facebook.com/1LIVE/,90642806830,https://www.youtube.com/@1LIVE,https://www.instagram.com/1live/,https://www.tiktok.com/@1live,.,.,.,.,.,Radio,öffentlich-rechtlich
1876,13,24/3 (reboot.fm) ,1,3,https://x.com/rebootfm,153592681,https://www.facebook.com/rebootfmberlin,128451550516331,existiert nicht,https://www.instagram.com/reboot.fm/,existiert nicht,.,.,.,.,.,Radio,privatwirtschaftlich
