ListenID_23_04,Name,Kategorie,Typ,SM_TwitterURL,SM_TwitterID,SM_FacebookURL,SM_FacebookID,SM_InstagramURL,SM_InstagramID,K_Geschlecht,T_Abgeordneter,T_Partei,T_Domaene_Behoerde,K_Ursprungsgattung,K_Finanzierung,T_Mitglied_in_BPK
1,"Ahmadi, Gollaleh",3,21,https://www.twitter.com/GollalehA,762578485030297600,https://www.facebook.com/Gollaleh.A,1479121476,https://www.instagram.com/gollaleh_ahmadi/,1545115232,weiblich,Abgeordnetenhaus von Berlin,B90/GRÜNE,,,,
2,"Altug, Dr. Turgut",3,21,https://www.twitter.com/DrTurgutAltug,1074444199,https://www.facebook.com/profile.php?id=1291951986,1291951986,existiert nicht,existiert nicht,männlich,Abgeordnetenhaus von Berlin,B90/GRÜNE,,,,
3,"Atli, Sebahat",3,21,https://www.twitter.com/sebahat_atli,716506483735863296,https://www.facebook.com/profile.php?id=100010983101435,100010983101435,existiert nicht,existiert nicht,weiblich,Abgeordnetenhaus von Berlin,SPD,,,,
4,"Auricht, Jeannette",3,21,https://www.twitter.com/JeanetteAuricht,826402742893760512,https://www.facebook.com/Jeannette-Auricht-MdA-109775244497753,109775244497753,https://www.instagram.com/jeannette_auricht/,11564495695,weiblich,Abgeordnetenhaus von Berlin,AfD,,,,
5,"Aydin, Sevim",3,21,https://www.twitter.com/sevimaydinAGH,1372641580650270730,https://www.facebook.com/infoaydin,1271754220,https://www.instagram.com/aydinsevim/,277964207,weiblich,Abgeordnetenhaus von Berlin,SPD,,,,
6,"Balzer, Frank",3,21,existiert nicht,existiert nicht,https://www.facebook.com/FrankBalzerBerlin,101306745479644,existiert nicht,existiert nicht,männlich,Abgeordnetenhaus von Berlin,CDU,,,,
7,"Bauschke, Tobias",3,21,https://www.twitter.com/tobiasbauschke,18907530,https://www.facebook.com/bauschketobias,458078794384242,https://www.instagram.com/tobiasbauschke/,306415157,männlich,Abgeordnetenhaus von Berlin,FDP,,,,
8,"Becker, Franziska",3,21,https://www.twitter.com/Fcm_BeckerSPD,2684648481,https://www.facebook.com/franziska.becker2011,100001590456673,https://www.instagram.com/franziska.cmb/,2881531996,weiblich,Abgeordnetenhaus von Berlin,SPD,,,,
9,"Billig, Daniela",3,21,https://www.twitter.com/danielabillig,2967515615,https://www.facebook.com/danielabillig,103548707697557,https://www.instagram.com/danielabillig/,8610627653,weiblich,Abgeordnetenhaus von Berlin,B90/GRÜNE,,,,
10,"Bozkurt, Tuba",3,21,https://www.twitter.com/TubaBozkurt,215741378,https://www.facebook.com/TubaBozkurtBerlin,100075519252625,https://www.instagram.com/tubabozkurt/,34800436,weiblich,Abgeordnetenhaus von Berlin,B90/GRÜNE,,,,
11,"Breitenbach, Elke",3,21,https://www.twitter.com/ElkeBreitenbach,437349362,https://www.facebook.com/elke.breitenbach,100006988087297,existiert nicht,existiert nicht,weiblich,Abgeordnetenhaus von Berlin,LINKE,,,,
12,"Brinker, Dr. Kristin",3,21,https://www.twitter.com/Kristin_Brinker,2359728006,https://www.facebook.com/DrKristinBrinker,108313499637735,existiert nicht,existiert nicht,weiblich,Abgeordnetenhaus von Berlin,AfD,,,,
13,"Bronson, Dr. Hugh",3,21,https://www.twitter.com/HughBronson_AfD,1647937405,https://www.facebook.com/DrHughBronson,1285623548123430,https://www.instagram.com/hugh.bronson/,26160451842,männlich,Abgeordnetenhaus von Berlin,AfD,,,,
14,"Brousek, Antonin",3,21,https://www.twitter.com/AntoninBrousek,1401223573071609857,https://www.facebook.com/antonin.brousek.50,100064552244095,existiert nicht,existiert nicht,männlich,Abgeordnetenhaus von Berlin,AfD,,,,
15,"Brunner, Sandra",3,21,https://www.twitter.com/brunnersandra1,803250600431484928,https://www.facebook.com/sandra.brunner.129,100002401171547,existiert nicht,existiert nicht,weiblich,Abgeordnetenhaus von Berlin,LINKE,,,,
16,"Brychcy, Franziska",3,21,https://www.twitter.com/F_Brychcy,837467563604979712,https://www.facebook.com/franziska.brychcy,1042807971,https://www.instagram.com/franziska_brychcy/,9669860221,weiblich,Abgeordnetenhaus von Berlin,LINKE,,,,
17,"Buchner, Dennis",3,21,https://www.twitter.com/Dennis_Buchner,221767923,https://www.facebook.com/dennis.buchner.berlin,1224169080941050,https://www.instagram.com/dennis.buchner.mda/,45947636651,männlich,Abgeordnetenhaus von Berlin,SPD,,,,
18,"Bung, Stefanie",3,21,existiert nicht,existiert nicht,https://www.facebook.com/stefanie.bung,100000500476158,https://www.instagram.com/stefaniebung/,31775844182,weiblich,Abgeordnetenhaus von Berlin,CDU,,,,
19,"Burkert-Eulitz, Marianne",3,21,https://www.twitter.com/BurkertEulitz,861463944,https://www.facebook.com/marianne.burkerteulitz,1275339749,https://www.instagram.com/burkerteulitz/,8974604028,weiblich,Abgeordnetenhaus von Berlin,B90/GRÜNE,,,,
20,"Caglar, Derya",3,21,https://www.twitter.com/Caglar_Derya_,4859700923,https://www.facebook.com/derya.caglar.spd,1002891199767911,https://www.instagram.com/derya_neukoelln/,3960923886,weiblich,Abgeordnetenhaus von Berlin,SPD,,,,
21,"Czaja, Sebastian",3,21,https://www.twitter.com/SebCzaja,712355753814839297,https://www.facebook.com/czaja.sebastian,227292860644574,https://www.instagram.com/sebczaja/,3058742173,männlich,Abgeordnetenhaus von Berlin,FDP,,,,
22,"Czyborra, Dr. Ina",3,21,https://www.twitter.com/CzyIna,596511285,https://www.facebook.com/ina.czyborra,1509767320,https://www.instagram.com/inaczyborra_mda/,8656964251,weiblich,Abgeordnetenhaus von Berlin,SPD,,,,
23,"Dietmann, Michael",3,21,https://www.twitter.com/michaeldietmann,754715121906253824,https://www.facebook.com/dietmann.mda,202474916483746,https://www.instagram.com/michael_dietmann_mda/,46875184609,männlich,Abgeordnetenhaus von Berlin,CDU,,,,
24,"Dörstelmann, Florian",3,21,https://www.twitter.com/FDoerstelmann,916718144,https://www.facebook.com/florian.dorstelmann,100064894995183,https://www.instagram.com/florian_doerstelmann/,47137810854,männlich,Abgeordnetenhaus von Berlin,SPD,,,,
25,"Düsterhöft, Lars",3,21,existiert nicht,existiert nicht,https://www.facebook.com/larsduesterhoeft1981,1663624833888357,https://www.instagram.com/lars.duesterhoeft_mda/,4290220707,männlich,Abgeordnetenhaus von Berlin,SPD,,,,
26,"Engelmann, Claudia",3,21,https://www.twitter.com/CEungeschminkt,246233670,https://www.facebook.com/claudia.engelmann.188,1197072194,existiert nicht,existiert nicht,weiblich,Abgeordnetenhaus von Berlin,LINKE,,,,
27,"Eralp, Elif",3,21,https://www.twitter.com/ElifEralpBerlin,1464589056,https://www.facebook.com/elif.eralp.77,728497501,https://www.instagram.com/eliferalp/?hl=de,213589836,weiblich,Abgeordnetenhaus von Berlin,LINKE,,,,
28,"Evers, Stefan",3,21,https://www.twitter.com/BerlinGestalter,3302771110,https://www.facebook.com/stefanevers.cdu,365789826766113,https://www.instagram.com/stefanevers.cdu/,43811222913,männlich,Abgeordnetenhaus von Berlin,CDU,,,,
29,"Förster, Christopher",3,21,https://www.twitter.com/Foerster_Chris,2252060904,https://www.facebook.com/christopher.foerster,962515153832894,https://www.instagram.com/christopher.foerster/,3076656545,männlich,Abgeordnetenhaus von Berlin,CDU,,,,
30,"Förster, Stefan",3,21,https://www.twitter.com/st_foerster,791376204993552384,existiert nicht,existiert nicht,existiert nicht,existiert nicht,männlich,Abgeordnetenhaus von Berlin,FDP,,,,
31,"Franco, Vasili",3,21,https://www.twitter.com/VasiFranco,1229412486,existiert nicht,existiert nicht,https://www.instagram.com/vasi_f/,1272062205,männlich,Abgeordnetenhaus von Berlin,B90/GRÜNE,,,,
32,"Fresdorf, Paul",3,21,https://www.twitter.com/PaulFresdorf,45516372,https://www.facebook.com/paul.fresdorf,776031149178265,https://www.instagram.com/paulfresdorf/,4536070951,männlich,Abgeordnetenhaus von Berlin,FDP,,,,
33,"Freymark, Danny",3,21,https://www.twitter.com/dannyfreymark,211114954,https://www.facebook.com/dannyfreymark.cdu,225436390816202,https://www.instagram.com/dannyfreymark/,5400910624,männlich,Abgeordnetenhaus von Berlin,CDU,,,,
34,"Friederici, Oliver",3,21,existiert nicht,existiert nicht,https://www.facebook.com/oliver.friederici.3,100047376082399,existiert nicht,existiert nicht,männlich,Abgeordnetenhaus von Berlin,CDU,,,,
35,"Fuchs, Stefanie",3,21,https://www.twitter.com/stefanie_fuchs,796371523,https://www.facebook.com/StefanieFuchsKoepenick,206580156393442,https://www.instagram.com/stefaniefuchs_mda/,12316870961,weiblich,Abgeordnetenhaus von Berlin,LINKE,,,,
36,"Gebel, Silke",3,21,https://www.twitter.com/SilkeGebel,17234497,https://www.facebook.com/SilkeGebel,623061035,https://www.instagram.com/silkegebel/,1587558833,weiblich,Abgeordnetenhaus von Berlin,B90/GRÜNE,,,,
37,"Gennburg, Katalin",3,21,https://www.twitter.com/die_gennburg,716987646938058752,https://www.facebook.com/KatalinGennburg,976441475766481,https://www.instagram.com/politikinmode/,8765939613,weiblich,Abgeordnetenhaus von Berlin,LINKE,,,,
