"id","Kategorie","Name","Partei","Wahlkreis","Geschlecht","Kommentar","Bild","tags","Wikipedia_URL","Homepage_URL","SM_Twitter_user","SM_Twitter_id","SM_Twitter_verifiziert","SM_Facebook_id","SM_Facebook_user","SM_Facebook_verifiziert","SM_Youtube_user","SM_Youtube_id","SM_Youtube_verifiziert","SM_Instagram_user","SM_Instagram_id","SM_Instagram_verifiziert","SM_Telegram_user","SM_Telegram_id","SM_Telegram_verifiziert","created_at","created_by","modified_at","modified_by"
"c7d58f64-4c8d-4824-a728-1d7937f253cf","Sächsischer Landtag","Luise Neuhaus-Wartenberg","LINKE","","weiblich","","https://de.wikipedia.org/wiki/Datei:Luise_Neuhaus-Wartenberg.jpg","","https://de.wikipedia.org/wiki/Luise_Neuhaus-Wartenberg","","LuiseNeuhaus","898306712","","","","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"4095ae9a-ed0b-4911-b8db-ca6dc87c9ff1","Sächsischer Landtag","Dagmar Neukirch","SPD","","weiblich","","https://de.wikipedia.org/wiki/Datei:Dagmar_Neukirch_(Martin_Rulsch)_SPD_1.jpg","","https://de.wikipedia.org/wiki/Dagmar_Neukirch","","dagmarneukirch","326167954","","","","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"92317b3a-36be-43c2-b23c-1170cfa777c4","Sächsischer Landtag","Kerstin Nicolaus","CDU","Zwickau 1","weiblich","","https://de.wikipedia.org/wiki/Datei:2013-12-17_-_Kerstin_Nicolaus_-_S%C3%A4chsischer_Landtag_-_1755.jpg","","https://de.wikipedia.org/wiki/Kerstin_Nicolaus","","","","","265844227141214","nicolausmdl","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"ab8de808-11e9-4e67-b246-7092f383e6d2","Sächsischer Landtag","Andreas Nowak","CDU","Leipzig 3","männlich","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","","https://de.wikipedia.org/wiki/Andreas_Nowak_(Politiker)","","Andreas_Nowak14","2828036595","","330855083743622","Andreas.Nowak.MdL","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"5e903be0-583d-4bc1-9a20-69167b70dff2","Sächsischer Landtag","Gerald Otto","CDU","Zwickau 3","männlich","","https://de.wikipedia.org/wiki/Datei:2013-12-17_-_Gerald_Otto_-_S%C3%A4chsischer_Landtag_-_1561.jpg","","https://de.wikipedia.org/wiki/Gerald_Otto","","Gerald130964","491398368","","506251940115738","Gerald Otto","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"236782b2-9ae6-4c25-9241-b58a13e51574","Sächsischer Landtag","Albrecht Pallas","SPD","","männlich","","https://de.wikipedia.org/wiki/Datei:2016-12-15_Albrecht_Pallas_(Landtagsprojekt_Sachsen)_by_Sandro_Halank%E2%80%933.jpg","","https://de.wikipedia.org/wiki/Albrecht_Pallas","","AlbrechtPallas","48011376","","52290984405","AlbrechtPallas","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"8262d01c-730c-4bbe-93a6-86114e4138d4","Sächsischer Landtag","Dirk Panter","SPD","","männlich","","https://de.wikipedia.org/wiki/Datei:Dirk_Panter_2016_by_Jenny_Paul.jpg","","https://de.wikipedia.org/wiki/Dirk_Panter","","dirkpanter","421749071","","1474558609448527","dirk.panter","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"100646a5-9c2e-4e98-b100-af6183675ed7","Sächsischer Landtag","Peter Patt","CDU","Chemnitz 1","männlich","","https://de.wikipedia.org/wiki/Datei:Peter_Patt_Landtag_Sachsen_by_Stepro_IMG_1779_LR50.jpg","","https://de.wikipedia.org/wiki/Peter_Patt","","","","","","","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"de6df103-a67e-4c5b-9ffe-cc5a5bd8b289","Sächsischer Landtag","Mario Pecher","SPD","","","","https://de.wikipedia.org/wiki/Datei:Mario_Pecher_Landtag_Sachsen_by_Stepro_IMG_1635_LR50.jpg","","https://de.wikipedia.org/wiki/Mario_Pecher","","","","","","","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"6958ab9c-801a-4ec9-a8c0-cd64848bca70","Sächsischer Landtag","Janina Pfau","LINKE","","","","https://de.wikipedia.org/wiki/Datei:MJK21152_Janina_Pfau.jpg","","https://de.wikipedia.org/wiki/Janina_Pfau","","","","","","","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"73c4a611-ce38-4e23-9665-75c420a230ab","Sächsischer Landtag","Juliane Pfeil-Zabel","SPD","","","","https://de.wikipedia.org/wiki/Datei:MJK20771_Juliane_Pfeil-Zabel.jpg","","https://de.wikipedia.org/wiki/Juliane_Pfeil-Zabel","","","","","","","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"c2cc4f44-6b86-43b3-91e3-ab88d140e2c4","Sächsischer Landtag","Jana Pinka","LINKE","","","","https://de.wikipedia.org/wiki/Datei:2013-12-17_-_Jana_Pinka_-_S%C3%A4chsischer_Landtag_-_1622.jpg","","https://de.wikipedia.org/wiki/Jana_Pinka","","","","","","","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"c5c13486-1eab-44fe-ba63-dfc24096974b","Sächsischer Landtag","Christian Piwarz","CDU","Dresden 2","männlich","","https://de.wikipedia.org/wiki/Datei:Christian_Piwarz_by_Stepro_IMG_1416_LR50.jpg","","https://de.wikipedia.org/wiki/Christian_Piwarz","","","","","514948678564784","Christian.Piwarz.DD","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"0b2301fd-3516-4158-843c-d50d9b51157a","Sächsischer Landtag","Ronald Pohle","CDU","Leipzig 1","männlich","","https://de.wikipedia.org/wiki/Datei:Ronald_Pohle_by_Stepro_IMG_1523_LR50.jpg","","https://de.wikipedia.org/wiki/Ronald_Pohle","","","","","2097843000508082","PohlePosition","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"5538539d-e3c9-4cc3-bbe6-886dcfe9a13a","Sächsischer Landtag","Iris Raether-Lordieck","SPD","","","","https://de.wikipedia.org/wiki/Datei:Iris_Raether-Lordieck_(SPD)_Landtagsprojekt_Sachsen_IMG_9378_LR10_by_Stepro.jpg","","https://de.wikipedia.org/wiki/Iris_Raether-Lordieck","","","","","","","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"d5515741-af1d-4063-925f-f6cb206a106e","Sächsischer Landtag","Lutz Richter","LINKE","","","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","","https://de.wikipedia.org/wiki/Lutz_Richter_(Politiker)","","","","","669688153128597","DIE LINKE. Wahlkreisbüro Lutz Richter Sebnitz","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"c3bc27ff-2be3-4177-b3b6-14ec6d970f4b","Sächsischer Landtag","Lars Rohwer","CDU","Dresden 6","männlich","","https://de.wikipedia.org/wiki/Datei:Lars_Rohwer_(Martin_Rulsch)_2.jpg","","https://de.wikipedia.org/wiki/Lars_Rohwer","","","","","2312246595760915","lars.rohwer.politik","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"197e6573-bfce-4ffd-880c-5d42a7bdd852","Sächsischer Landtag","Matthias Rößler","CDU","Meißen 4","männlich","","https://de.wikipedia.org/wiki/Datei:2013-12-17_-_Matthias_R%C3%B6%C3%9Fler_-_S%C3%A4chsischer_Landtag_-_1680.jpg","","https://de.wikipedia.org/wiki/Matthias_R%C3%B6%C3%9Fler","","","","","516839052158588","roesslermatthias","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
"be7134bd-ce81-4843-9bf3-87f00e247b5a","Sächsischer Landtag","Wolf-Dietrich Rost","CDU","Leipzig 6","männlich","","https://de.wikipedia.org/wiki/Datei:2013-12-17_-_Wolf-Dietrich_Rost_-_S%C3%A4chsischer_Landtag_-_1499.jpg","","https://de.wikipedia.org/wiki/Wolf-Dietrich_Rost","","","","","829957650482929","wolfdietrichrost","","","","","","","","","","","2021-03-30 20:59:52","admin","2021-03-30 20:59:52","admin"
